id,city,city_amount,city_index,plot,industry,industry_simple,industry_amount,industry_index,pollution,day,transfer,transfer_money,future_use,future_use_simple,future_use_rank,zeren_class,zeren,repair_way,repair_money,repair_stage,public,complete,address,zhong,huifa,banhuifa,else,province
138,北京,7,6,北京大峪化工厂原址地块,化工,化工,64,0,砷,90,未出让,X,商住用地,商住用地,0,房地产开发商,中合联宇房地产开发有限公司,异位修复,100,未知,1,1,北京市门头沟区新桥南大街67号,T,F,F,F,北京市
166,成都,9,3,川化集团有限责任公司,化工,化工,64,1,其他污染物(氨/pH/二硫化碳/氰化物等),未开始,未出让,X,未知,未知,2,未知,未知,未知,未知,场地土壤环境评估中,,,四川省成都市青白江区,NA,NA,NA,NA,四川省
167,成都,9,4,邛崃市旭日化工有限责任公司,化工,化工,64,2,未知,未开始,未出让,X,未知,未知,2,未知,未知,未知,未知,场地土壤环境评估中,,,四川省成都市邛崃市,NA,NA,NA,NA,四川省
169,成都,9,6,原贵州水晶有机化工（集团）有限公司汞法醋酸车间,化工,化工,64,3,汞,未开始,未出让,X,未知,未知,2,未知,未知,未知,未知,场地土壤环境评估中,0,0,清镇市青龙村,T,F,F,F,四川省
152,重庆,17,6,重庆渝富兴南城市建设发展有限公司储备02号地块（含重庆市龙济化肥有限责任公司原址）,化工,化工,64,4,砷;铜;多环芳烃(苯并芘/苯并蒽/苯并萘等);总石油烃(总石油烃/苯/甲苯/萘等）,365,未出让,,商住用地,商住用地,0,原场地使用者,重庆渝富兴南城市建设发展有限公司,异位修复,未知,正在修复,1,0,,T,T,T,F,重庆市
162,重庆,17,16,重庆新华化工有限公司、重庆市万利来化工股份有限公司原址,化工,化工,64,5,汞;总石油烃(总石油烃/苯/甲苯/萘等）;砷,270,未知,X,未知,未知,2,国资委下属资产管理企业,重庆市潼南水务（集团）有限公司,异位修复,4800,准备修复,1,0,,T,T,F,F,重庆市
41,广州,10,3,广州制漆厂地块,化工,化工,64,6,其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);总石油烃(总石油烃/苯/甲苯/萘等）;铬(总铬和六价铬);其他半挥发性有机物(苯酚/苯胺/多氯联苯）,150,未出让,X,商住用地,商住用地,0,原场地使用者,广州珠江化工集团有限公司,异位修复,6288,正在修复,1,1,广州市荔湾区芳村大道东路东塱新爵后街2号,T,T,T,F,广东省
42,广州,10,4,黄埔化工厂地块,化工,化工,64,7,铬(总铬和六价铬);总石油烃(总石油烃/苯/甲苯/萘等）;铜;锌;砷;汞;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);铅;镍,330,未出让,X,商住用地,商住用地,0,原场地使用者,广州黄埔化工有限公司,原位修复；异位修复,4701,正在修复,1,1,广州市黄埔区黄埔东路2009号,T,T,F,F,广东省
45,广州,10,7,百花香料地块,化工,化工,64,8,总石油烃(总石油烃/苯/甲苯/萘等）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);多环芳烃(苯并芘/苯并蒽/苯并萘等),140,已出让,20.1,商住用地,商住用地,0,未知,广州百花香料公司,未知,4296.34,已修复,,,广州市荔湾区百花路111号,F,T,T,F,广东省
65,哈尔滨,1,0,哈尔滨龙江特种装备有限公司场地,化工,化工,64,9,砷;铅;铬(总铬和六价铬);其他污染物(氨/pH/二硫化碳/氰化物等);多环芳烃(苯并芘/苯并蒽/苯并萘等);其他重金属(镉/锑/鎶/铍/钡/锰),未知,未出让,X,未知,未知,2,政府,哈尔滨市道外区城乡建设局,未知,1800,已完成场地土壤环境评估,1,0,,T,F,T,T,黑龙江省
1,杭州,9,0,杭州市红星化工厂,化工,化工,64,10,铬(总铬和六价铬),270,未出让,X,商住用地、绿地、公共设施,商住综合,1,政府,杭州市望江地区改造建设指挥部,原位修复；异位修复,12000,准备修复,1,1,上城区秋涛路西侧,T,F,F,F,浙江省
3,杭州,9,2,杭州庆丰农化有限公司,化工,化工,64,11,其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);有机农药(六六六/滴滴涕等);多环芳烃(苯并芘/苯并蒽/苯并萘等);砷,未知,已出让,12.2,商住用地,商住用地,0,国资委下属资产管理企业,杭州市工业资产经营投资集团,原地异位修复,20000,已修复,0,0,杭州市江干区红十五路，机场路,T,T,T,F,浙江省
7,杭州,9,6,杭州南郊化学有限公司,化工,化工,64,12,砷;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);其他污染物(氨/pH/二硫化碳/氰化物等);铬(总铬和六价铬);汞;多环芳烃(苯并芘/苯并蒽/苯并萘等);总石油烃(总石油烃/苯/甲苯/萘等）;镍,30,未出让,X,绿地,绿地,3,政府,杭州高新技术产业开发区（滨江）智慧新天地建设指挥部,原地异位修复,,准备修复,1,1,杭州市滨江区浦沿街道浦联村镇前路310号,T,T,T,T,浙江省
9,杭州,9,8,建德市白沙化工厂,化工,化工,64,13,总石油烃(总石油烃/苯/甲苯/萘等）;铜;铬(总铬和六价铬),30,未知,X,未知,未知,2,国资委下属资产管理企业,建德市桥南城市建设有限公司,异位修复,同上,正在修复,1,0,,T,T,F,F,浙江省
35,合肥,4,1,中盐安徽红四方股份有限公司,化工,化工,64,14,未知,未知,未出让,X,商住用地,商住用地,0,政府,合肥市土储中心,未知,未知,已完成场地土壤环境评估,,,安徽省合肥市蜀山区祁门路12号,NA,NA,NA,NA,安徽省
